id,name,isin_code,create_day,market_type,market_type_detail,industry_type,update_time,update_user
1101,台泥,TW0001101004,19620209,上市,股票,水泥工業,2018-06-18 23:47:06.934649,tittan
1102,亞泥,TW0001102002,19620608,上市,股票,水泥工業,2018-06-18 23:47:06.934649,tittan
1103,嘉泥,TW0001103000,19691114,上市,股票,水泥工業,2018-06-18 23:47:06.934649,tittan
1104,環泥,TW0001104008,19710201,上市,股票,水泥工業,2018-06-18 23:47:06.934649,tittan
1108,幸福,TW0001108009,19900606,上市,股票,水泥工業,2018-06-18 23:47:06.934649,tittan
1109,信大,TW0001109007,19911205,上市,股票,水泥工業,2018-06-18 23:47:06.934649,tittan
1110,東泥,TW0001110005,19941022,上市,股票,水泥工業,2018-06-18 23:47:06.934649,tittan
1201,味全,TW0001201002,19620209,上市,股票,食品工業,2018-06-18 23:47:06.934649,tittan
1203,味王,TW0001203008,19640824,上市,股票,食品工業,2018-06-18 23:47:06.934649,tittan
1210,大成,TW0001210003,19780520,上市,股票,食品工業,2018-06-18 23:47:06.934649,tittan
1213,大飲,TW0001213007,19810410,上市,股票,食品工業,2018-06-18 23:47:06.934649,tittan
1215,卜蜂,TW0001215002,19870727,上市,股票,食品工業,2018-06-18 23:47:06.934649,tittan
1216,統一,TW0001216000,19871228,上市,股票,食品工業,2018-06-18 23:47:06.934649,tittan
1217,愛之味,TW0001217008,19891028,上市,股票,食品工業,2018-06-18 23:47:06.934649,tittan
1218,泰山,TW0001218006,19891111,上市,股票,食品工業,2018-06-18 23:47:06.934649,tittan
1219,福壽,TW0001219004,19901201,上市,股票,食品工業,2018-06-18 23:47:06.934649,tittan
1220,台榮,TW0001220002,19911120,上市,股票,食品工業,2018-06-18 23:47:06.934649,tittan
1225,福懋油,TW0001225001,19930927,上市,股票,食品工業,2018-06-18 23:47:06.934649,tittan
1227,佳格,TW0001227007,19940409,上市,股票,食品工業,2018-06-18 23:47:06.934649,tittan
1229,聯華,TW0001229003,19760719,上市,股票,食品工業,2018-06-18 23:47:06.934649,tittan
1231,聯華食,TW0001231009,19951102,上市,股票,食品工業,2018-06-18 23:47:06.934649,tittan
1232,大統益,TW0001232007,19960209,上市,股票,食品工業,2018-06-18 23:47:06.934649,tittan
1233,天仁,TW0001233005,19990120,上市,股票,食品工業,2018-06-18 23:47:06.934649,tittan
1234,黑松,TW0001234003,19990312,上市,股票,食品工業,2018-06-18 23:47:06.934649,tittan
1235,興泰,TW0001235000,20000911,上市,股票,食品工業,2018-06-18 23:47:06.934649,tittan
1236,宏亞,TW0001236008,20010917,上市,股票,食品工業,2018-06-18 23:47:06.934649,tittan
1256,鮮活果汁-KY,KYG858681003,20160317,上市,股票,食品工業,2018-06-18 23:47:06.934649,tittan
1262,綠悅-KY,KYG409711069,20140116,上市,股票,其他業,2018-06-18 23:47:06.934649,tittan
1301,台塑,TW0001301000,19640727,上市,股票,塑膠工業,2018-06-18 23:47:06.934649,tittan
1303,南亞,TW0001303006,19671105,上市,股票,塑膠工業,2018-06-18 23:47:06.934649,tittan
1304,台聚,TW0001304004,19720520,上市,股票,塑膠工業,2018-06-18 23:47:06.934649,tittan
1305,華夏,TW0001305001,19730305,上市,股票,塑膠工業,2018-06-18 23:47:06.934649,tittan
1307,三芳,TW0001307007,19851123,上市,股票,塑膠工業,2018-06-18 23:47:06.934649,tittan
1308,亞聚,TW0001308005,19860620,上市,股票,塑膠工業,2018-06-18 23:47:06.934649,tittan
1309,台達化,TW0001309003,19860627,上市,股票,塑膠工業,2018-06-18 23:47:06.934649,tittan
1310,台苯,TW0001310001,19870806,上市,股票,塑膠工業,2018-06-18 23:47:06.934649,tittan
1312,國喬,TW0001312007,19881221,上市,股票,塑膠工業,2018-06-18 23:47:06.934649,tittan
1313,聯成,TW0001313005,19890327,上市,股票,塑膠工業,2018-06-18 23:47:06.934649,tittan
1314,中石化,TW0001314003,19910712,上市,股票,塑膠工業,2018-06-18 23:47:06.934649,tittan
1315,達新,TW0001315000,19920509,上市,股票,塑膠工業,2018-06-18 23:47:06.934649,tittan
1316,上曜,TW0001316008,19921015,上市,股票,化學工業,2018-06-18 23:47:06.934649,tittan
1319,東陽,TW0001319002,19941212,上市,股票,塑膠工業,2018-06-18 23:47:06.934649,tittan
1321,大洋,TW0001321008,19990126,上市,股票,塑膠工業,2018-06-18 23:47:06.934649,tittan
1323,永裕,TW0001323004,20000911,上市,股票,塑膠工業,2018-06-18 23:47:06.934649,tittan
1324,地球,TW0001324002,20000911,上市,股票,塑膠工業,2018-06-18 23:47:06.934649,tittan
1325,恆大,TW0001325009,20000911,上市,股票,塑膠工業,2018-06-18 23:47:06.934649,tittan
1326,台化,TW0001326007,19841220,上市,股票,塑膠工業,2018-06-18 23:47:06.934649,tittan
1337,再生-KY,KYG0539R1039,20110701,上市,股票,塑膠工業,2018-06-18 23:47:06.934649,tittan
1338,廣華-KY,KYG451001070,20121219,上市,股票,汽車工業,2018-06-18 23:47:06.934649,tittan
1339,昭輝,TW0001339000,20120424,上市,股票,塑膠工業,2018-06-18 23:47:06.934649,tittan
1340,勝悅-KY,KYG935971054,20131206,上市,股票,塑膠工業,2018-06-18 23:47:06.934649,tittan
1402,遠東新,TW0001402006,19670414,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1409,新纖,TW0001409001,19730831,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1410,南染,TW0001410009,19731018,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1413,宏洲,TW0001413003,19751223,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1414,東和,TW0001414001,19760202,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1416,廣豐,TW0001416006,19760420,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1417,嘉裕,TW0001417004,19761228,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1418,東華,TW0001418002,19770214,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1419,新紡,TW0001419000,19770314,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1423,利華,TW0001423002,19790402,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1432,大魯閣,TW0001432003,19820726,上市,股票,貿易百貨業,2018-06-18 23:47:06.934649,tittan
1434,福懋,TW0001434009,19851224,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1435,中福,TW0001435006,19871228,上市,股票,其他業,2018-06-18 23:47:06.934649,tittan
1436,華友聯,TW0001436004,19880411,上市,股票,建材營造業,2018-06-18 23:47:06.934649,tittan
1437,勤益控,TW0001437002,19881110,上市,股票,半導體業,2018-06-18 23:47:06.934649,tittan
1438,裕豐,TW0001438000,19881215,上市,股票,建材營造業,2018-06-18 23:47:06.934649,tittan
1439,中和,TW0001439008,19890522,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1440,南紡,TW0001440006,19891003,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1441,大東,TW0001441004,19891027,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1442,名軒,TW0001442002,19891116,上市,股票,建材營造業,2018-06-18 23:47:06.934649,tittan
1443,立益,TW0001443000,19900421,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1444,力麗,TW0001444008,19900808,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1445,大宇,TW0001445005,19910205,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1446,宏和,TW0001446003,19911015,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1447,力鵬,TW0001447001,19920128,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1449,佳和,TW0001449007,19920312,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1451,年興,TW0001451003,19921221,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1452,宏益,TW0001452001,19921228,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1453,大將,TW0001453009,19930419,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1454,台富,TW0001454007,19930507,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1455,集盛,TW0001455004,19931007,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1456,怡華,TW0001456002,19931209,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1457,宜進,TW0001457000,19941020,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1459,聯發,TW0001459006,19941026,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1460,宏遠,TW0001460004,19950428,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1463,強盛,TW0001463008,19961205,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1464,得力,TW0001464006,19970118,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1465,偉全,TW0001465003,19970908,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1466,聚隆,TW0001466001,19980404,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1467,南緯,TW0001467009,19981221,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1468,昶和,TW0001468007,19990121,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1469,理隆,TW0001469005,19990205,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1470,大統染,TW0001470003,19990521,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1471,首利,TW0001471001,20000306,上市,股票,電子零組件業,2018-06-18 23:47:06.934649,tittan
1472,三洋紡,TW0001472009,20000911,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1473,台南,TW0001473007,20000911,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1474,弘裕,TW0001474005,20001031,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1475,本盟,TW0001475002,20001027,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1476,儒鴻,TW0001476000,20010418,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1477,聚陽,TW0001477008,20030121,上市,股票,紡織纖維,2018-06-18 23:47:06.934649,tittan
1503,士電,TW0001503001,19691215,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
1504,東元,TW0001504009,19731105,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
1506,正道,TW0001506004,19800811,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
1507,永大,TW0001507002,19891109,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
1512,瑞利,TW0001512002,19940128,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
1513,中興電,TW0001513000,19940308,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
1514,亞力,TW0001514008,19940326,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
1515,力山,TW0001515005,19950204,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
1516,川飛,TW0001516003,19950401,上市,股票,其他業,2018-06-18 23:47:06.934649,tittan
1517,利奇,TW0001517001,19951114,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
1519,華城,TW0001519007,19970416,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
1521,大億,TW0001521003,19971006,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
1522,堤維西,TW0001522001,19971006,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
1524,耿鼎,TW0001524007,19981030,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
1525,江申,TW0001525004,19990515,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
1526,日馳,TW0001526002,20000327,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
1527,鑽全,TW0001527000,20000621,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
1528,恩德,TW0001528008,20000911,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
1529,樂士,TW0001529006,20000911,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
1530,亞崴,TW0001530004,20000911,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
1531,高林股,TW0001531002,20000911,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
1532,勤美,TW0001532000,20160701,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
1533,車王電,TW0001533008,20010406,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
1535,中宇,TW0001535003,20010917,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
1536,和大,TW0001536001,20010917,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
1537,廣隆,TW0001537009,20020122,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
1538,正峰新,TW0001538007,20020826,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
1539,巨庭,TW0001539005,20021029,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
1540,喬福,TW0001540003,20020826,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
1541,錩泰,TW0001541001,20030319,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
1558,伸興,TW0001558005,20141223,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
1560,中砂,TW0001560001,20050131,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
1568,倉佑,TW0001568004,20140514,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
1582,信錦,TW0001582005,20091217,上市,股票,電子零組件業,2018-06-18 23:47:06.934649,tittan
1583,程泰,TW0001583003,20080124,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
1587,吉茂,TW0001587004,20180416,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
1589,永冠-KY,KYG984291065,20120427,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
1590,亞德客-KY,KYG014081064,20101213,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
1592,英瑞-KY,KYG316231045,20141016,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
1598,岱宇,TW0001598001,20160920,上市,股票,生技醫療業,2018-06-18 23:47:06.934649,tittan
1603,華電,TW0001603009,19680603,上市,股票,電器電纜,2018-06-18 23:47:06.934649,tittan
1604,聲寶,TW0001604007,19701214,上市,股票,電器電纜,2018-06-18 23:47:06.934649,tittan
1605,華新,TW0001605004,19721103,上市,股票,電器電纜,2018-06-18 23:47:06.934649,tittan
1608,華榮,TW0001608008,19880711,上市,股票,電器電纜,2018-06-18 23:47:06.934649,tittan
1609,大亞,TW0001609006,19881212,上市,股票,電器電纜,2018-06-18 23:47:06.934649,tittan
1611,中電,TW0001611002,19900116,上市,股票,電器電纜,2018-06-18 23:47:06.934649,tittan
1612,宏泰,TW0001612000,19930508,上市,股票,電器電纜,2018-06-18 23:47:06.934649,tittan
1614,三洋電,TW0001614006,19970918,上市,股票,電器電纜,2018-06-18 23:47:06.934649,tittan
1615,大山,TW0001615003,20000330,上市,股票,電器電纜,2018-06-18 23:47:06.934649,tittan
1616,億泰,TW0001616001,20000911,上市,股票,電器電纜,2018-06-18 23:47:06.934649,tittan
1617,榮星,TW0001617009,20000911,上市,股票,電器電纜,2018-06-18 23:47:06.934649,tittan
1618,合機,TW0001618007,20000911,上市,股票,電器電纜,2018-06-18 23:47:06.934649,tittan
1626,艾美特-KY,KYG0135T1076,20130321,上市,股票,電器電纜,2018-06-18 23:47:06.934649,tittan
1701,中化,TW0001701001,19620209,上市,股票,生技醫療業,2018-06-18 23:47:06.934649,tittan
1702,南僑,TW0001702009,19730530,上市,股票,食品工業,2018-06-18 23:47:06.934649,tittan
1704,榮化,TW0001704005,19771217,上市,股票,化學工業,2018-06-18 23:47:06.934649,tittan
1707,葡萄王,TW0001707008,19821220,上市,股票,生技醫療業,2018-06-18 23:47:06.934649,tittan
1708,東鹼,TW0001708006,19860616,上市,股票,化學工業,2018-06-18 23:47:06.934649,tittan
1709,和益,TW0001709004,19860703,上市,股票,化學工業,2018-06-18 23:47:06.934649,tittan
1710,東聯,TW0001710002,19871021,上市,股票,化學工業,2018-06-18 23:47:06.934649,tittan
1711,永光,TW0001711000,19881227,上市,股票,化學工業,2018-06-18 23:47:06.934649,tittan
1712,興農,TW0001712008,19891214,上市,股票,化學工業,2018-06-18 23:47:06.934649,tittan
1713,國化,TW0001713006,19900131,上市,股票,化學工業,2018-06-18 23:47:06.934649,tittan
1714,和桐,TW0001714004,19910830,上市,股票,化學工業,2018-06-18 23:47:06.934649,tittan
1717,長興,TW0001717007,19940331,上市,股票,化學工業,2018-06-18 23:47:06.934649,tittan
1718,中纖,TW0001718005,19631202,上市,股票,化學工業,2018-06-18 23:47:06.934649,tittan
1720,生達,TW0001720001,19951212,上市,股票,生技醫療業,2018-06-18 23:47:06.934649,tittan
1721,三晃,TW0001721009,19960516,上市,股票,化學工業,2018-06-18 23:47:06.934649,tittan
1722,台肥,TW0001722007,19980324,上市,股票,化學工業,2018-06-18 23:47:06.934649,tittan
1723,中碳,TW0001723005,19981127,上市,股票,化學工業,2018-06-18 23:47:06.934649,tittan
1724,台硝,TW0001724003,19950330,上市,股票,化學工業,2018-06-18 23:47:06.934649,tittan
1725,元禎,TW0001725000,20000911,上市,股票,化學工業,2018-06-18 23:47:06.934649,tittan
1726,永記,TW0001726008,20000911,上市,股票,化學工業,2018-06-18 23:47:06.934649,tittan
1727,中華化,TW0001727006,20000911,上市,股票,化學工業,2018-06-18 23:47:06.934649,tittan
1730,花仙子,TW0001730000,20010917,上市,股票,化學工業,2018-06-18 23:47:06.934649,tittan
1731,美吾華,TW0001731008,20010917,上市,股票,生技醫療業,2018-06-18 23:47:06.934649,tittan
1732,毛寶,TW0001732006,20010917,上市,股票,化學工業,2018-06-18 23:47:06.934649,tittan
1733,五鼎,TW0001733004,20010917,上市,股票,生技醫療業,2018-06-18 23:47:06.934649,tittan
1734,杏輝,TW0001734002,20020826,上市,股票,生技醫療業,2018-06-18 23:47:06.934649,tittan
1735,日勝化,TW0001735009,20020826,上市,股票,化學工業,2018-06-18 23:47:06.934649,tittan
1736,喬山,TW0001736007,20030109,上市,股票,生技醫療業,2018-06-18 23:47:06.934649,tittan
1737,臺鹽,TW0001737005,20031118,上市,股票,食品工業,2018-06-18 23:47:06.934649,tittan
1760,寶齡富錦,TW0001760007,20180123,上市,股票,生技醫療業,2018-06-18 23:47:06.934649,tittan
1762,中化生,TW0001762003,20101220,上市,股票,生技醫療業,2018-06-18 23:47:06.934649,tittan
1773,勝一,TW0001773000,20090227,上市,股票,化學工業,2018-06-18 23:47:06.934649,tittan
1776,展宇,TW0001776003,20160509,上市,股票,化學工業,2018-06-18 23:47:06.934649,tittan
1783,和康生,TW0001783009,20131220,上市,股票,生技醫療業,2018-06-18 23:47:06.934649,tittan
1786,科妍,TW0001786002,20131112,上市,股票,生技醫療業,2018-06-18 23:47:06.934649,tittan
1789,神隆,TW0001789006,20110929,上市,股票,生技醫療業,2018-06-18 23:47:06.934649,tittan
1802,台玻,TW0001802007,19730720,上市,股票,玻璃陶瓷,2018-06-18 23:47:06.934649,tittan
1805,寶徠,TW0001805000,19891020,上市,股票,建材營造業,2018-06-18 23:47:06.934649,tittan
1806,冠軍,TW0001806008,19920929,上市,股票,玻璃陶瓷,2018-06-18 23:47:06.934649,tittan
1808,潤隆,TW0001808004,19941026,上市,股票,建材營造業,2018-06-18 23:47:06.934649,tittan
1809,中釉,TW0001809002,19960430,上市,股票,玻璃陶瓷,2018-06-18 23:47:06.934649,tittan
1810,和成,TW0001810000,19911014,上市,股票,玻璃陶瓷,2018-06-18 23:47:06.934649,tittan
1817,凱撒衛,TW0001817005,20131024,上市,股票,玻璃陶瓷,2018-06-18 23:47:06.934649,tittan
1902,台紙,TW0001902005,19620209,上市,股票,造紙工業,2018-06-18 23:47:06.934649,tittan
1903,士紙,TW0001903003,19631209,上市,股票,造紙工業,2018-06-18 23:47:06.934649,tittan
1904,正隆,TW0001904001,19710910,上市,股票,造紙工業,2018-06-18 23:47:06.934649,tittan
1905,華紙,TW0001905008,19750207,上市,股票,造紙工業,2018-06-18 23:47:06.934649,tittan
1906,寶隆,TW0001906006,19760426,上市,股票,造紙工業,2018-06-18 23:47:06.934649,tittan
1907,永豐餘,TW0001907004,19770222,上市,股票,造紙工業,2018-06-18 23:47:06.934649,tittan
1909,榮成,TW0001909000,19851119,上市,股票,造紙工業,2018-06-18 23:47:06.934649,tittan
2002,中鋼,TW0002002003,19741226,上市,股票,鋼鐵工業,2018-06-18 23:47:06.934649,tittan
2006,東和鋼鐵,TW0002006004,19880713,上市,股票,鋼鐵工業,2018-06-18 23:47:06.934649,tittan
2007,燁興,TW0002007002,19881004,上市,股票,鋼鐵工業,2018-06-18 23:47:06.934649,tittan
2008,高興昌,TW0002008000,19881228,上市,股票,鋼鐵工業,2018-06-18 23:47:06.934649,tittan
2009,第一銅,TW0002009008,19891020,上市,股票,鋼鐵工業,2018-06-18 23:47:06.934649,tittan
2010,春源,TW0002010006,19891222,上市,股票,鋼鐵工業,2018-06-18 23:47:06.934649,tittan
2012,春雨,TW0002012002,19911017,上市,股票,鋼鐵工業,2018-06-18 23:47:06.934649,tittan
2013,中鋼構,TW0002013000,19920121,上市,股票,鋼鐵工業,2018-06-18 23:47:06.934649,tittan
2014,中鴻,TW0002014008,19920220,上市,股票,鋼鐵工業,2018-06-18 23:47:06.934649,tittan
2015,豐興,TW0002015005,19920525,上市,股票,鋼鐵工業,2018-06-18 23:47:06.934649,tittan
2017,官田鋼,TW0002017001,19921102,上市,股票,鋼鐵工業,2018-06-18 23:47:06.934649,tittan
2020,美亞,TW0002020005,19930427,上市,股票,鋼鐵工業,2018-06-18 23:47:06.934649,tittan
2022,聚亨,TW0002022001,19950327,上市,股票,鋼鐵工業,2018-06-18 23:47:06.934649,tittan
2023,燁輝,TW0002023009,19950728,上市,股票,鋼鐵工業,2018-06-18 23:47:06.934649,tittan
2024,志聯,TW0002024007,19951230,上市,股票,鋼鐵工業,2018-06-18 23:47:06.934649,tittan
2025,千興,TW0002025004,19960208,上市,股票,鋼鐵工業,2018-06-18 23:47:06.934649,tittan
2027,大成鋼,TW0002027000,19961024,上市,股票,鋼鐵工業,2018-06-18 23:47:06.934649,tittan
2028,威致,TW0002028008,19961213,上市,股票,鋼鐵工業,2018-06-18 23:47:06.934649,tittan
2029,盛餘,TW0002029006,19970111,上市,股票,鋼鐵工業,2018-06-18 23:47:06.934649,tittan
2030,彰源,TW0002030004,19981224,上市,股票,鋼鐵工業,2018-06-18 23:47:06.934649,tittan
2031,新光鋼,TW0002031002,20000911,上市,股票,鋼鐵工業,2018-06-18 23:47:06.934649,tittan
2032,新鋼,TW0002032000,20000911,上市,股票,鋼鐵工業,2018-06-18 23:47:06.934649,tittan
2033,佳大,TW0002033008,20000911,上市,股票,鋼鐵工業,2018-06-18 23:47:06.934649,tittan
2034,允強,TW0002034006,20010917,上市,股票,鋼鐵工業,2018-06-18 23:47:06.934649,tittan
2038,海光,TW0002038007,20081230,上市,股票,鋼鐵工業,2018-06-18 23:47:06.934649,tittan
2049,上銀,TW0002049004,20090626,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
2059,川湖,TW0002059003,20080625,上市,股票,電子零組件業,2018-06-18 23:47:06.934649,tittan
2062,橋椿,TW0002062007,20071116,上市,股票,其他業,2018-06-18 23:47:06.934649,tittan
2069,運錩,TW0002069002,20160322,上市,股票,鋼鐵工業,2018-06-18 23:47:06.934649,tittan
2101,南港,TW0002101003,19631101,上市,股票,橡膠工業,2018-06-18 23:47:06.934649,tittan
2102,泰豐,TW0002102001,19790716,上市,股票,橡膠工業,2018-06-18 23:47:06.934649,tittan
2103,台橡,TW0002103009,19820925,上市,股票,橡膠工業,2018-06-18 23:47:06.934649,tittan
2104,中橡,TW0002104007,19860715,上市,股票,橡膠工業,2018-06-18 23:47:06.934649,tittan
2105,正新,TW0002105004,19871207,上市,股票,橡膠工業,2018-06-18 23:47:06.934649,tittan
2106,建大,TW0002106002,19901220,上市,股票,橡膠工業,2018-06-18 23:47:06.934649,tittan
2107,厚生,TW0002107000,19920303,上市,股票,橡膠工業,2018-06-18 23:47:06.934649,tittan
2108,南帝,TW0002108008,19921027,上市,股票,橡膠工業,2018-06-18 23:47:06.934649,tittan
2109,華豐,TW0002109006,20000508,上市,股票,橡膠工業,2018-06-18 23:47:06.934649,tittan
2114,鑫永銓,TW0002114006,20101229,上市,股票,橡膠工業,2018-06-18 23:47:06.934649,tittan
2115,六暉-KY,KYG5700L1086,20131225,上市,股票,橡膠工業,2018-06-18 23:47:06.934649,tittan
2201,裕隆,TW0002201001,19760708,上市,股票,汽車工業,2018-06-18 23:47:06.934649,tittan
2204,中華,TW0002204005,19910312,上市,股票,汽車工業,2018-06-18 23:47:06.934649,tittan
2206,三陽工業,TW0002206000,19960729,上市,股票,汽車工業,2018-06-18 23:47:06.934649,tittan
2207,和泰車,TW0002207008,19970225,上市,股票,汽車工業,2018-06-18 23:47:06.934649,tittan
2208,台船,TW0002208006,20081222,上市,股票,航運業,2018-06-18 23:47:06.934649,tittan
2227,裕日車,TW0002227006,20041221,上市,股票,汽車工業,2018-06-18 23:47:06.934649,tittan
2228,劍麟,TW0002228004,20131125,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
2231,為升,TW0002231008,20101119,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
2236,百達-KY,KYG693691092,20150603,上市,股票,電機機械,2018-06-18 23:47:06.934649,tittan
2239,英利-KY,KYG1991F1081,20160127,上市,股票,汽車工業,2018-06-18 23:47:06.934649,tittan
2243,宏旭-KY,KYG460651014,20170927,上市,股票,汽車工業,2018-06-18 23:47:06.934649,tittan
2301,光寶科,TW0002301009,19951117,上市,股票,電腦及週邊設備業,2018-06-18 23:47:06.934649,tittan
2302,麗正,TW0002302007,19850115,上市,股票,半導體業,2018-06-18 23:47:06.934649,tittan
2303,聯電,TW0002303005,19850716,上市,股票,半導體業,2018-06-18 23:47:06.934649,tittan
2305,全友,TW0002305000,19881021,上市,股票,電腦及週邊設備業,2018-06-18 23:47:06.934649,tittan
2308,台達電,TW0002308004,19881219,上市,股票,電子零組件業,2018-06-18 23:47:06.934649,tittan
2312,金寶,TW0002312006,19891107,上市,股票,其他電子業,2018-06-18 23:47:06.934649,tittan
2313,華通,TW0002313004,19900724,上市,股票,電子零組件業,2018-06-18 23:47:06.934649,tittan
2314,台揚,TW0002314002,19900808,上市,股票,通信網路業,2018-06-18 23:47:06.934649,tittan
