日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2017/1/3,"4,185,230","41,887,640",10.00,10.05,9.95,10.05,+0.08,"1,367"
2017/1/4,"5,318,945","53,518,285",10.10,10.10,10.00,10.10,+0.05,"1,650"
2017/1/5,"17,102,619","174,326,221",10.15,10.25,10.10,10.20,+0.10,"3,174"
2017/1/6,"7,083,381","71,803,669",10.20,10.25,10.10,10.10,-0.10,"1,513"
2017/1/9,"4,672,037","46,987,644",10.10,10.15,10.00,10.00,-0.10,"1,262"
2017/1/10,"6,751,584","67,313,377",10.00,10.05,9.93,9.95,-0.05,"1,792"
2017/1/11,"6,167,794","61,844,010",10.05,10.10,9.98,10.05,+0.10,"1,713"
2017/1/12,"5,543,901","55,528,812",10.10,10.10,9.99,10.00,-0.05,"1,781"
2017/1/13,"5,663,577","56,735,958",10.00,10.05,9.99,10.00, 0.00,"1,351"
2017/1/16,"6,611,929","66,580,740",10.10,10.15,10.00,10.05,+0.05,"1,411"
2017/1/17,"77,756,021","819,354,990",10.05,10.90,10.05,10.85,+0.80,"12,461"
2017/1/18,"80,330,106","896,700,650",11.00,11.30,11.00,11.15,+0.30,"13,562"
2017/1/19,"48,379,577","543,217,180",11.25,11.40,11.05,11.10,-0.05,"8,182"
2017/1/20,"84,371,435","984,285,754",11.30,11.90,11.30,11.70,+0.60,"13,332"
2017/1/23,"161,866,596","2,030,506,129",12.10,12.85,12.10,12.85,+1.15,"26,268"
2017/1/24,"144,994,168","1,909,124,202",13.05,13.60,12.80,12.80,-0.05,"24,360"
2017/2/2,"75,862,712","992,646,870",13.35,13.45,12.80,12.80, 0.00,"12,229"
2017/2/3,"70,635,894","876,588,275",12.80,12.80,12.15,12.35,-0.45,"11,037"
2017/2/6,"66,055,918","848,376,258",12.75,13.05,12.60,12.85,+0.50,"10,700"
2017/2/7,"37,056,118","471,105,178",12.75,12.90,12.45,12.80,-0.05,"6,901"
2017/2/8,"141,966,971","1,718,066,117",12.90,12.90,11.60,11.85,-0.95,"24,093"
2017/2/9,"61,601,651","715,492,475",11.70,11.80,11.40,11.65,-0.20,"9,312"
2017/2/10,"50,977,765","601,093,348",11.80,12.00,11.60,11.65, 0.00,"7,977"
2017/2/13,"39,551,371","466,164,798",11.95,12.00,11.50,11.90,+0.25,"6,821"
2017/2/14,"35,574,956","417,341,306",11.85,11.90,11.60,11.60,-0.30,"5,876"
2017/2/15,"20,310,358","237,196,478",11.70,11.80,11.60,11.65,+0.05,"4,611"
2017/2/16,"18,151,572","209,989,114",11.70,11.75,11.50,11.50,-0.15,"3,825"
2017/2/17,"25,734,623","300,511,358",11.60,11.80,11.50,11.75,+0.25,"4,482"
2017/2/18,"13,496,592","157,696,092",11.75,11.80,11.60,11.75, 0.00,"2,689"
2017/2/20,"28,150,088","324,634,814",11.75,11.80,11.35,11.35,-0.40,"5,574"
2017/2/21,"28,112,004","316,129,268",11.30,11.45,11.15,11.20,-0.15,"6,620"
2017/2/22,"28,984,999","327,083,911",11.30,11.45,11.15,11.20, 0.00,"5,308"
2017/2/23,"30,266,113","335,679,543",11.25,11.30,11.00,11.05,-0.15,"5,832"
2017/2/24,"33,966,159","378,123,347",11.15,11.25,11.00,11.15,+0.10,"7,673"
2017/3/1,"22,197,086","246,479,434",11.25,11.30,11.00,11.05,-0.10,"4,588"
2017/3/2,"72,799,634","842,126,147",11.30,11.75,11.30,11.60,+0.55,"14,116"
2017/3/3,"25,473,206","293,084,884",11.60,11.65,11.40,11.50,-0.10,"5,413"
2017/3/6,"20,707,239","239,724,919",11.60,11.65,11.50,11.55,+0.05,"4,042"
2017/3/7,"18,930,740","218,872,034",11.60,11.65,11.45,11.50,-0.05,"4,348"
2017/3/8,"44,809,243","524,867,737",11.55,11.90,11.50,11.90,+0.40,"7,186"
2017/3/9,"103,853,103","1,282,055,235",12.40,12.60,12.20,12.25,+0.35,"17,862"
2017/3/10,"48,926,751","585,521,162",12.20,12.20,11.80,12.05,-0.20,"9,691"
2017/3/13,"48,110,805","590,524,569",12.20,12.50,12.05,12.10,+0.05,"7,778"
2017/3/14,"36,004,422","440,607,501",12.30,12.40,12.10,12.25,+0.15,"6,576"
2017/3/15,"39,835,839","486,060,318",12.30,12.40,12.00,12.05,-0.20,"6,961"
2017/3/16,"24,217,362","292,859,483",12.20,12.25,12.00,12.10,+0.05,"4,626"
2017/3/17,"34,019,411","415,396,315",12.20,12.35,12.05,12.35,+0.25,"6,699"
2017/3/20,"135,226,671","1,733,107,655",12.45,13.10,12.40,12.85,+0.50,"19,599"
2017/3/21,"51,340,623","661,740,675",13.00,13.05,12.75,12.80,-0.05,"7,760"
2017/3/22,"88,512,650","1,144,434,996",12.55,13.15,12.40,13.10,+0.30,"14,628"
2017/3/23,"153,422,025","2,169,907,936",13.40,14.40,13.40,14.40,+1.30,"19,614"
2017/3/24,"284,259,977","4,220,192,403",14.90,15.30,14.10,14.45,+0.05,"40,849"
2017/3/27,"241,771,075","3,640,829,519",14.80,15.70,14.55,15.30,+0.85,"34,164"
2017/3/28,"137,034,939","2,043,933,735",15.30,15.50,14.45,14.85,-0.45,"21,389"
2017/3/29,"196,556,664","3,039,217,467",15.10,16.30,14.80,16.25,+1.40,"29,018"
2017/3/30,"300,374,455","5,071,921,404",16.35,17.40,16.10,16.85,+0.60,"50,476"
